A1,A2,B1,B2,C1,userLevelByHuman
0.5,0.0,0.0,0.0,0.0,0
0.3,0.0,0.0,0.0,0.0,0
0.45,0.0,0.0,0.0,0.0,0
0.45,0.0,0.0,0.0,0.0,0
0.35,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0
0.25,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.2,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.55,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.43,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.57,0.0,0.0,0.0,0.0,0
0.35,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.4,0
0.7,0.0,0.0,0.0,0.0,0
0.3,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0
0.55,0.0,0.0,0.0,0.0,0
0.0,0.0,0.1,0.0,0.2,0
0.6,0.0,0.3,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0
0.65,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0
0.3,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.3,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.55,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.3,0.0,0.0,0.0,0.0,0
0.7,0.0,0.001,0.0,0.0,0
0.451,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.001,0
