N1,N2,N3,N4,N5,userLevelByHuman
0.0,0.1,0.3,0.0,0.1,0
0.0,0.4,0.0,0.0,0.0,0
0.2,0.0,0.1,0.0,0.0,0
0.0,0.4,0.0,0.0,0.0,0
0.0,0.23,0.0,0.0,0.0,0
0.27,0.0,0.0,0.0,0.0,0
0.0,0.3,0.0,0.0,0.0,0
0.0,0.3,0.0,0.0,0.0,0
0.4,0.0,0.0,0.27,0.0,0
0.0,0.1,0.0,0.0,0.0,0
0.0,0.4,0.0,0.0,0.001,0
0.2,0.0,0.101,0.0,0.0,0
0.2,0.0,0.101,0.0,0.0,0
0.0,0.4,0.0,0.0,0.001,0
0.27,0.0,0.0,0.0,0.001,0
0.2,0.001,0.101,0.0,0.0,0
0.201,0.0,0.1,0.0,0.0,0
0.0,0.401,0.0,0.0,0.0,0
0.0,0.3,0.001,0.0,0.0,0
0.269,0.0,0.0,0.0,0.001,0
0.4,0.001,0.0,0.27,0.0,0
0.201,0.001,0.1,0.0,0.0,0
0.0,0.399,0.0,0.0,0.0,0
0.001,0.3,0.001,0.0,0.0,0
0.2,0.001,0.101,0.0,0.0,0
0.0,0.3,0.001,0.001,0.0,0
0.201,0.001,0.101,0.0,0.0,0
0.201,0.001,0.1,0.0,0.001,0
0.0,0.3,0.001,0.0,0.0,0
0.27,0.0,0.0,0.001,0.001,0
0.4,0.002,0.0,0.27,0.0,0
0.4,0.003,0.0,0.27,0.0,0
0.001,0.4,0.0,0.0,0.0,0
0.2,0.002,0.101,0.0,0.0,0
0.4,0.0,0.0,0.271,0.0,0
0.0,0.4,0.0,0.001,0.001,0
0.0,0.401,0.0,0.0,0.0,0
0.0,0.299,0.0,0.0,0.0,0
0.269,0.0,0.001,0.0,0.001,0
0.001,0.3,0.001,0.0,0.0,0
0.0,0.299,0.001,0.0,0.0,0
0.2,0.001,0.101,0.0,0.0,0
0.0,0.4,0.0,0.001,0.0,0
0.2,0.001,0.101,0.0,0.001,0
0.27,0.001,0.0,0.0,0.0,0
0.0,0.299,0.0,0.0,0.001,0
0.201,0.001,0.101,0.0,0.0,0
0.201,0.0,0.101,0.0,0.0,0
0.001,0.4,0.0,0.0,0.001,0
0.0,0.299,0.0,0.001,0.0,0
0.2,0.001,0.101,0.0,0.0,0
0.0,0.3,0.001,0.0,0.0,0
0.201,0.0,0.101,0.0,0.0,0
0.401,0.003,0.0,0.27,0.0,0
0.4,0.001,0.0,0.27,0.0,0
0.0,0.399,0.0,0.001,0.001,0
0.27,0.001,0.0,0.001,0.001,0
