T1,T2,T3,T4,T5,userLevelByHuman
0.13,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0
0.2,0.0,0.0,0.0,0.0,0
0.3,0.0,0.0,0.0,0.0,0
0.3,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0
0.53,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0
0.55,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.57,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0
0.3,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.35,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.0,0.2,0.0,0.0,0.0,0
0.2,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0
0.25,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0
0.64,0.0,0.3,0.0,0.0,0
0.0,0.4,0.0,0.0,0.0,0
0.72,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.65,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.0,0.3,0.0,0.0,0.0,0
0.25,0.0,0.0,0.0,0.0,0
0.33,0.0,0.0,0.0,0.0,0
0.6,0.0,0.0,0.0,0.0,0
0.62,0.0,0.0,0.0,0.06,0
0.5,0.0,0.0,0.0,0.0,0
